#{"t_start": 1775412613.600419, "env_id": "Inverted_Pendulum_version_1"}
r,l,t
52.017474,500,38.46048
44.067495,500,38.521653
48.298553,500,38.585317
44.082109,500,38.647463
44.260348,500,39.062159
44.596685,500,39.123728
44.582528,500,39.185564
49.36806,500,39.246601
49.724651,500,39.620196
43.720006,500,39.681309
47.63165,500,39.742137
46.672106,500,39.802916
52.600165,500,40.180907
46.755134,500,40.24188
44.566931,500,40.302425
50.589075,500,40.363313
52.311298,500,40.735756
46.865351,500,40.797275
46.146321,500,40.858636
48.270653,500,40.918918
49.520252,500,41.290646
48.575109,500,41.351115
44.490726,500,41.416599
51.350088,500,41.479834
50.266146,500,41.859546
48.540989,500,41.921874
46.472259,500,41.985209
47.85371,500,42.049596
48.700376,500,42.424771
47.707844,500,42.487761
46.630117,500,42.549395
48.30205,500,42.610902
52.352702,500,42.983809
51.71143,500,43.045817
49.960231,500,43.106815
51.4908,500,43.168185
49.787221,500,43.540608
52.780047,500,43.602572
51.807198,500,43.664115
46.945526,500,43.725282
52.581302,500,44.097834
46.221324,500,44.160481
52.376972,500,44.221873
48.281491,500,44.283035
49.359951,500,44.654743
52.408947,500,44.716982
51.519351,500,44.778205
50.944096,500,44.839793
44.123543,500,44.901033
44.917142,500,45.276617
48.774029,500,45.338155
49.090163,500,45.399362
52.829723,500,45.461414
52.437173,500,45.832599
44.659386,500,45.894026
48.193485,500,45.955062
47.252957,500,46.016427
45.482318,500,46.388037
52.961188,500,46.451526
46.756294,500,46.515427
51.953034,500,46.577128
45.374625,500,46.94954
51.055129,500,47.012577
44.649481,500,47.075254
48.926458,500,47.136445
51.742939,500,47.511243
52.628581,500,47.572708
50.046803,500,47.633225
52.687275,500,47.693983
45.600016,500,48.068869
50.298012,500,48.130513
45.31561,500,48.191647
46.86374,500,48.251989
53.220066,500,48.62304
44.413963,500,48.685597
45.667168,500,48.746436
51.827014,500,48.807605
47.050662,500,49.210386
52.554651,500,49.27353
50.779826,500,49.335839
51.773091,500,49.397624
46.484917,500,49.772585
